## Order: 3
## Bins: 10
Maximum Radius = 1.72e+02
Bin 1	Bin 2	zeta_0	zeta_1	zeta_2	zeta_3	
 0	 0	3.572871e+03	-3.850732e+03	5.331718e+03	-5.857312e+03	
 1	 1	5.355968e+03	-5.374161e+03	8.975482e+03	-8.746825e+03	
 1	 0	1.794842e+03	-5.920625e+02	1.545787e+03	-6.905911e+02	
 2	 2	4.182725e+02	-2.629542e+03	7.093938e+03	-9.384463e+03	
 2	 1	1.099053e+03	-4.454938e+02	3.268243e+03	-1.307321e+03	
 2	 0	1.290933e+03	-3.307651e+02	1.153815e+03	-1.112505e+02	
 3	 3	1.748410e+03	-8.165705e+02	3.086764e+02	-7.635079e+03	
 3	 2	-6.550694e+01	2.194504e+03	3.745672e+03	-4.080876e+03	
 3	 1	1.902703e+03	-4.955459e+00	3.005314e+03	-1.741688e+03	
 3	 0	1.360295e+02	-1.548159e+02	1.220702e+03	-1.013296e+02	
 4	 4	3.858291e+03	-2.637718e+03	1.995286e+03	-1.039690e+04	
 4	 3	-1.466765e+03	-1.173951e+01	-3.132246e+02	-1.234765e+02	
 4	 2	-2.028055e+03	7.706625e+02	2.465624e+03	-1.803577e+03	
 4	 1	1.327216e+03	1.897910e+02	2.529891e+03	-8.186385e+02	
 4	 0	7.041392e+02	3.057934e+02	8.903261e+02	-2.262108e+02	
 5	 5	9.971572e+03	-7.247313e+03	6.851074e+03	-6.482688e+03	
 5	 4	2.404657e+03	-3.069483e+03	-2.869792e+03	-5.361136e+00	
 5	 3	7.806655e+03	-6.930047e+03	7.940510e+03	-4.496846e+03	
 5	 2	3.739841e+03	-7.866026e+02	3.577136e+03	-4.230526e+01	
 5	 1	1.285791e+03	1.651589e+02	3.008953e+03	-7.574650e+02	
 5	 0	1.068580e+03	-1.878837e+02	9.395405e+02	-2.604381e+02	
 6	 6	-9.852869e+03	1.979940e+03	8.656563e+03	4.634443e+03	
 6	 5	2.892647e+03	-3.691398e+03	7.084995e+03	1.814707e+03	
 6	 4	-4.204631e+03	-9.127858e+02	9.253426e+02	-1.566445e+03	
 6	 3	2.004291e+03	3.457192e+03	-1.140727e+02	4.889763e+03	
 6	 2	-3.030577e+03	-3.134157e+02	1.715821e+03	1.256320e+02	
 6	 1	5.433776e+02	-8.515774e+02	3.737711e+03	1.009184e+03	
 6	 0	-1.688308e+02	-1.202061e+02	2.775231e+02	-1.053027e+02	
 7	 7	5.146109e+03	-2.968396e+03	1.366517e+04	-4.935459e+03	
 7	 6	-9.904022e+03	-3.282699e+03	7.707449e+03	2.100399e+03	
 7	 5	2.063814e+03	-7.789743e+03	8.011115e+03	7.501677e+03	
 7	 4	2.690193e+03	-3.599590e+03	3.917003e+03	1.647390e+03	
 7	 3	1.718639e+03	8.124079e+02	-2.333104e+03	2.832268e+02	
 7	 2	5.514412e+01	-1.398867e+03	3.460660e+03	5.550270e+02	
 7	 1	2.570504e+03	8.102296e+02	1.686718e+03	-4.226389e+02	
 7	 0	4.923065e+01	3.391764e+02	2.473981e+02	2.100601e+02	
 8	 8	-4.150565e+02	-4.210509e+03	4.215189e+03	-1.357536e+04	
 8	 7	-1.644418e+03	1.219812e+04	5.638000e+03	-6.915230e+03	
 8	 6	1.482865e+02	4.554586e+03	8.947522e+02	5.150416e+03	
 8	 5	9.339342e+03	-6.073606e+03	9.070747e+03	8.342055e+02	
 8	 4	3.418937e+03	-1.243265e+03	-7.091875e+03	3.167427e+03	
 8	 3	1.323846e+03	-1.837163e+03	4.363560e+03	-1.657024e+03	
 8	 2	-1.078297e+03	1.980438e+03	-2.316653e+02	-5.086502e+03	
 8	 1	3.076244e+02	1.128288e+03	3.280546e+03	-1.257164e+03	
 8	 0	4.631693e+02	3.806833e+01	1.394353e+03	2.350110e+02	
 9	 9	-1.745439e+04	-5.590984e+03	1.878931e+04	-1.702576e+04	
 9	 8	4.900918e+02	-1.262781e+04	-4.777867e+03	-2.327372e+04	
 9	 7	4.432388e+03	3.314377e+03	8.142178e+03	2.918759e+03	
 9	 6	-9.191206e+03	8.212179e+03	-1.220761e+03	2.296075e+02	
 9	 5	-3.030854e+03	-1.661085e+02	-2.053808e+03	1.285787e+04	
 9	 4	-2.490101e+03	2.873007e+03	3.947996e+03	4.127329e+03	
 9	 3	4.668641e+02	-2.822982e+03	-9.170426e+02	-7.061412e+02	
 9	 2	3.676272e+03	8.936065e+01	8.877747e+02	2.878625e+03	
 9	 1	3.418116e+03	-5.411202e+02	4.606868e+03	-4.623323e+02	
 9	 0	8.895614e+02	-2.410951e+02	1.328940e+03	-3.385451e+02	
