#        x          y          z           w
#
0.391492 0.879770 0.885913 0.918355
0.177454 0.163185 0.676267 0.756460
0.241427 0.896332 0.564282 0.534159
0.357395 0.786144 0.954754 0.501887
0.557547 0.940910 0.034998 0.613551
0.050307 0.168924 0.607652 0.618673
0.363649 0.343873 0.725779 0.861514
0.246579 0.878540 0.260983 0.501052
0.069850 0.606167 0.525759 0.751306
0.420141 0.566303 0.548804 0.904831
0.676521 0.060742 0.863202 0.957720
0.759347 0.088176 0.917248 0.699496
0.555208 0.364030 0.244704 0.834941
0.080943 0.034570 0.636794 0.953192
0.985944 0.353608 0.382421 0.994215
0.607544 0.325437 0.025725 0.652471
0.663875 0.604315 0.538487 0.740001
0.460333 0.981735 0.893129 0.939759
0.759085 0.738753 0.920507 0.839290
0.572302 0.684207 0.178422 0.674510
0.306375 0.434721 0.904453 0.667792
0.558642 0.480272 0.126898 0.942886
0.760670 0.303584 0.804812 0.970012
0.513229 0.282030 0.804846 0.725056
0.790238 0.428972 0.751715 0.536688
0.125339 0.525845 0.580013 0.783577
0.044355 0.673769 0.720833 0.702792
0.321498 0.723144 0.047689 0.872746
0.645743 0.353835 0.450206 0.889513
0.788531 0.302565 0.505932 0.745449
0.612061 0.384204 0.312892 0.510285
0.571569 0.648747 0.968581 0.778071
0.503464 0.755365 0.965972 0.863556
0.532522 0.074010 0.713042 0.822912
0.739967 0.460477 0.604450 0.726804
0.981847 0.191482 0.894963 0.835456
0.642971 0.607419 0.953992 0.884653
0.838157 0.913497 0.200005 0.938023
0.120799 0.237451 0.938946 0.982912
0.707815 0.672748 0.492218 0.917867
0.313191 0.101196 0.147713 0.618357
0.812963 0.038670 0.219486 0.954995
0.790054 0.045811 0.586814 0.904450
0.272228 0.807223 0.636408 0.808956
0.980698 0.957221 0.370168 0.642276
0.851202 0.087111 0.403073 0.893692
0.328433 0.024164 0.408824 0.525371
0.344371 0.198051 0.223691 0.674059
0.223720 0.946267 0.689656 0.770438
0.496633 0.811935 0.646422 0.720616
0.236903 0.350410 0.353280 0.689229
0.401502 0.993260 0.170609 0.556750
0.511101 0.449609 0.814075 0.933858
0.847857 0.977367 0.434428 0.530788
0.331133 0.492794 0.267620 0.677117
0.701246 0.981166 0.519044 0.974261
0.638713 0.144636 0.790307 0.674464
0.541366 0.584736 0.492800 0.682624
0.389657 0.179585 0.067598 0.991220
0.405678 0.747258 0.044005 0.905747
0.538201 0.899968 0.681063 0.877304
0.621802 0.055595 0.824136 0.602159
